,ITEMNO,DESC1,DESC2,SEARCHTEXT,STOCKINGTYPE,TYPECONVERSION,ITEMCONVERTI,DESC1_1,DESC2_1,SEARCHTEXT_1,STOCKINGTYPE_1
7318,24101181                 ,HEX.NUT                       ,9/16-12UNC                    ,ZINC PLATED [GR.5]            ,P,2,24103575                 ,HEX.NUT                       ,M14-2.00                      ,ZINC PLATED [CL8.8]           ,B
7319,24101181                 ,HEX.NUT                       ,9/16-12UNC                    ,ZINC PLATED [GR.5]            ,P,3,214207                   ,HEX.NUT                       ,9/16-12UNC                    ,[SS.304]                      ,B
7325,24101183                 ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 1.750""            ",ZINC PLATED [A574]            ,P,3,185726                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 1.750""            ",[SS.304]                      ,B
7326,24101183                 ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 1.750""            ",ZINC PLATED [A574]            ,P,4,185740                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 45MM               ,[SS.304]                      ,B
7332,24101186                 ,HEX.HD.CAP SCREW              ,M4-0.70 X 16MM                ,ZINC PLATED [CL8.8]           ,P,4,181616                   ,HEX.HD.CAP SCREW              ,M4-0.70 X 16MM                ,[SS.304]                      ,P
7338,24101189                 ,HEX.HD.CAP SCREW              ,M5-0.80 X 16MM                ,ZINC PLATED [CL8.8]           ,P,4,154568                   ,HEX.HD.CAP SCREW              ,M5-0.80 X 16MM                ,[SS.304]                      ,P
7344,24101190                 ,HEX.HD.CAP SCREW              ,M5-0.80 X 20MM                ,ZINC PLATED [CL8.8]           ,P,4,24104782                 ,HEX.HD.CAP SCREW              ,M5-0.80 X 20MM                ,[SS.304]                      ,P
7346,24101190                 ,HEX.HD.CAP SCREW              ,M5-0.80 X 20MM                ,ZINC PLATED [CL8.8]           ,P,6,182658                   ,HEX.HD.CAP SCREW              ,M5-0.80 X 20MM                ,[SS.316]                      ,P
7350,24101191                 ,HEX.HD.CAP SCREW              ,M5-0.80 X 25MM                ,ZINC PLATED [CL8.8]           ,P,4,24104783                 ,HEX.HD.CAP SCREW              ,M5-0.80 X 25MM                ,[SS.304]                      ,P
7355,24101192                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 12MM                ,ZINC PLATED [CL8.8]           ,B,3,24102667                 ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 0.500""            ",[SS.304]                      ,P
7356,24101192                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 12MM                ,ZINC PLATED [CL8.8]           ,B,4,118623                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 12MM                ,[SS.304]                      ,P
7361,24101193                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 16MM                ,ZINC PLATED [CL8.8]           ,B,3,118571                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 0.625""            ",[SS.304]                      ,P
7362,24101193                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 16MM                ,ZINC PLATED [CL8.8]           ,B,4,24104921                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 16MM                ,[SS.304]                      ,P
7366,24101968                 ,HEX.SOC.CAP SCREW             ,"1/2-13UNC X 2.000""            ",ZINC PLATED [A574]            ,B,3,24102134                 ,HEX.SOC.CAP SCREW             ,"1/2-13UNC X 2.000""            ",[SS.304]                      ,P
7367,24101968                 ,HEX.SOC.CAP SCREW             ,"1/2-13UNC X 2.000""            ",ZINC PLATED [A574]            ,B,4,24104788                 ,HEX.SOC.CAP SCREW             ,M12-1.75 X 50MM               ,[SS.304]                      ,P
7371,24101984                 ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 2.500""            ",ZINC PLATED [A574]            ,P,2,185743                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 60MM               ,ZINC PLATED [CL8.8]           ,B
7372,24101984                 ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 2.500""            ",ZINC PLATED [A574]            ,P,3,117629                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 2.500""            ",[SS.304]                      ,P
7373,24101984                 ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 2.500""            ",ZINC PLATED [A574]            ,P,4,185742                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 60MM               ,[SS.304]                      ,B
7377,24102004                 ,THREADED ROD                  ,1/4-20UNC                     ,[SS.304]                      ,P,2,24104402                 ,THREADED ROD                  ,M6-1.00                       ,ZINC PLATED [CL8.8]           ,P
7379,24102004                 ,THREADED ROD                  ,1/4-20UNC                     ,[SS.304]                      ,P,4,24104900                 ,THREADED ROD                  ,M6-1.00                       ,[SS.304]                      ,P
7383,24102018                 ,HEX.SOC.CAP SCREW             ,"1/2-13UNC X 3.250""            ",ZINC PLATED [A574]            ,P,2,300521                   ,HEX.SOC.CAP SCREW             ,M12-1.75 X 80MM               ,ZINC PLATED [CL8.8]           ,P
