,ITEMNO,DESC1,DESC2,SEARCHTEXT,STOCKINGTYPE,TYPECONVERSION,ITEMCONVERTI,DESC1_1,DESC2_1,SEARCHTEXT_1,STOCKINGTYPE_1,MATERIAL_1,MATERIAL_2
8199,24101582                 ,WASHER;SPRING LOCK            ,#6                            ,ZINC PLATED,P,4,24104845                 ,WASHER;SPRING LOCK            ,M4                            ,ZINC PLATED,B,ZINC,ZINC
8201,24101582                 ,WASHER;SPRING LOCK            ,#6                            ,ZINC PLATED,P,6,182737                   ,WASHER;SPRING LOCK            ,M4                            ,ZINC PLATED,P,ZINC,ZINC
8203,24101583                 ,WASHER;SPRING LOCK            ,#10                           ,ZINC PLATED,P,2,24101222                 ,WASHER;SPRING LOCK            ,M5                            ,ZINC PLATED,P,ZINC,ZINC
8205,24101583                 ,WASHER;SPRING LOCK            ,#10                           ,ZINC PLATED,P,4,24104844                 ,WASHER;SPRING LOCK            ,M5                            ,ZINC PLATED,B,ZINC,ZINC
8207,24101583                 ,WASHER;SPRING LOCK            ,#10                           ,ZINC PLATED,P,6,182738                   ,WASHER;SPRING LOCK            ,M5                            ,ZINC PLATED,P,ZINC,ZINC
8286,24100056                 ,WASHER;SPRING LOCK            ,"0.250""                        ",ZINC PLATED,P,2,24101223                 ,WASHER;SPRING LOCK            ,M6                            ,ZINC PLATED,P,ZINC,ZINC
8288,24100056                 ,WASHER;SPRING LOCK            ,"0.250""                        ",ZINC PLATED,P,4,24104847                 ,WASHER;SPRING LOCK            ,M6                            ,ZINC PLATED,B,ZINC,ZINC
8329,24100874                 ,SCREW RD.HD.SQ.SOC.DRIVE      ,"1/4-20UNC X 0.750""            ",ZINC PLATED,P,2,182126                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M6-1.00 X 20MM                ,ZINC PLATED,P,ZINC,ZINC
8331,24100874                 ,SCREW RD.HD.SQ.SOC.DRIVE      ,"1/4-20UNC X 0.750""            ",ZINC PLATED,P,4,185816                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M6-1.00 X 20MM                ,ZINC PLATED,B,ZINC,ZINC
8369,24101260                 ,HEX.SOC.FH.CAP SCREW          ,"1/2-13UNC X 2.500""            ",[SS.304],P,2,24101779                 ,HEX.SOC.FH.CAP SCREW          ,M12-1.75 X 60MM               ,[SS.304],P,SS304,SS304
8371,24101260                 ,HEX.SOC.FH.CAP SCREW          ,"1/2-13UNC X 2.500""            ",[SS.304],P,4,185752                   ,HEX.SOC.FH.CAP SCREW          ,M12-1.75 X 60MM               ,[SS.304],B,SS304,SS304
8443,24100056                 ,WASHER;SPRING LOCK            ,"0.250""                        ",ZINC PLATED,P,6,182739                   ,WASHER;SPRING LOCK            ,M6                            ,ZINC PLATED,P,ZINC,ZINC
8445,24100057                 ,WASHER;SPRING LOCK            ,"0.313""                        ",ZINC PLATED,P,2,24101224                 ,WASHER;SPRING LOCK            ,M8                            ,ZINC PLATED,P,ZINC,ZINC
8447,24100057                 ,WASHER;SPRING LOCK            ,"0.313""                        ",ZINC PLATED,P,4,24104850                 ,WASHER;SPRING LOCK            ,M8                            ,ZINC PLATED,B,ZINC,ZINC
8449,24100057                 ,WASHER;SPRING LOCK            ,"0.313""                        ",ZINC PLATED,P,6,182740                   ,WASHER;SPRING LOCK            ,M8                            ,ZINC PLATED,P,ZINC,ZINC
8451,24100058                 ,WASHER;SPRING LOCK            ,"0.375""                        ",ZINC PLATED,P,2,24104548                 ,WASHER;SPRING LOCK            ,M10                           ,ZINC PLATED,P,ZINC,ZINC
8453,24100058                 ,WASHER;SPRING LOCK            ,"0.375""                        ",ZINC PLATED,P,4,24104849                 ,WASHER;SPRING LOCK            ,M10                           ,ZINC PLATED,B,ZINC,ZINC
8455,24100058                 ,WASHER;SPRING LOCK            ,"0.375""                        ",ZINC PLATED,P,6,182734                   ,WASHER;SPRING LOCK            ,M10                           ,ZINC PLATED,P,ZINC,ZINC
8457,24100059                 ,WASHER;SPRING LOCK            ,"0.438""                        ",ZINC PLATED,P,2,24104548                 ,WASHER;SPRING LOCK            ,M10                           ,ZINC PLATED,P,ZINC,ZINC
8459,24100059                 ,WASHER;SPRING LOCK            ,"0.438""                        ",ZINC PLATED,P,4,24104849                 ,WASHER;SPRING LOCK            ,M10                           ,ZINC PLATED,B,ZINC,ZINC
8461,24100059                 ,WASHER;SPRING LOCK            ,"0.438""                        ",ZINC PLATED,P,6,182734                   ,WASHER;SPRING LOCK            ,M10                           ,ZINC PLATED,P,ZINC,ZINC
8463,24100060                 ,WASHER;SPRING LOCK            ,"0.500""                        ",ZINC PLATED,P,2,24103107                 ,WASHER;SPRING LOCK            ,M12                           ,ZINC PLATED,P,ZINC,ZINC
8465,24100060                 ,WASHER;SPRING LOCK            ,"0.500""                        ",ZINC PLATED,P,4,24104846                 ,WASHER;SPRING LOCK            ,M12                           ,ZINC PLATED,B,ZINC,ZINC
8467,24100060                 ,WASHER;SPRING LOCK            ,"0.500""                        ",ZINC PLATED,P,6,182735                   ,WASHER;SPRING LOCK            ,M12                           ,ZINC PLATED,P,ZINC,ZINC
8469,24100061                 ,WASHER;SPRING LOCK            ,"0.625""                        ",ZINC PLATED,P,2,24101717                 ,WASHER;SPRING LOCK            ,M16                           ,ZINC PLATED,P,ZINC,ZINC
8471,24100061                 ,WASHER;SPRING LOCK            ,"0.625""                        ",ZINC PLATED,P,4,24105896                 ,WASHER;SPRING LOCK            ,M16                           ,ZINC PLATED,B,ZINC,ZINC
8473,24100061                 ,WASHER;SPRING LOCK            ,"0.625""                        ",ZINC PLATED,P,6,182736                   ,WASHER;SPRING LOCK            ,M16                           ,ZINC PLATED,P,ZINC,ZINC
8475,24100062                 ,WASHER;SPRING LOCK            ,"0.750""                        ",ZINC PLATED,P,2,24104551                 ,WASHER;SPRING LOCK            ,M20                           ,ZINC PLATED,P,ZINC,ZINC
8477,24100062                 ,WASHER;SPRING LOCK            ,"0.750""                        ",ZINC PLATED,P,4,24104848                 ,WASHER;SPRING LOCK            ,M20                           ,ZINC PLATED,B,ZINC,ZINC
8479,24100062                 ,WASHER;SPRING LOCK            ,"0.750""                        ",ZINC PLATED,P,6,158784                   ,WASHER;SPRING LOCK            ,M20                           ,ZINC PLATED,B,ZINC,ZINC
8553,24101286                 ,HEX.SOC.FH.CAP SCREW          ,"#6-32UNC X 0.625""             ",[SS.304],P,2,139705                   ,HEX.SOC.FH.CAP SCREW          ,M4-0.70 X 16MM                ,[SS.304],P,SS304,SS304
8555,24101286                 ,HEX.SOC.FH.CAP SCREW          ,"#6-32UNC X 0.625""             ",[SS.304],P,4,24104371                 ,HEX.SOC.FH.CAP SCREW          ,M4-0.70 X 16MM                ,[SS.304],P,SS304,SS304
8768,24101340                 ,WASHER;SPRING LOCK            ,"1.000""                        ",ZINC PLATED,B,2,24104704                 ,WASHER;SPRING LOCK            ,M24                           ,ZINC PLATED,P,ZINC,ZINC
8770,24101340                 ,WASHER;SPRING LOCK            ,"1.000""                        ",ZINC PLATED,B,4,185835                   ,WASHER;SPRING LOCK            ,M24                           ,ZINC PLATED,B,ZINC,ZINC
8922,24101017                 ,SQ.HD.SET SCREW CUP POINT     ,"1/2-13UNC X 0.750""            ",ZINC PLATED,P,2,185825                   ,SQ.HD.SET SCREW CUP POINT     ,M12-1.75 X 20MM               ,ZINC PLATED,B,ZINC,ZINC
8924,24101017                 ,SQ.HD.SET SCREW CUP POINT     ,"1/2-13UNC X 0.750""            ",ZINC PLATED,P,4,185824                   ,SQ.HD.SET SCREW CUP POINT     ,M12-1.75 X 20MM               ,ZINC PLATED,B,ZINC,ZINC
8952,24101025                 ,SQ.HD.SET SCREW CUP POINT     ,"1/2-13UNC X 1.250""            ",ZINC PLATED,P,2,24104664                 ,SQ.HD.SET SCREW CUP POINT     ,M12-1.75 X 30MM               ,ZINC PLATED,P,ZINC,ZINC
9023,224101                   ,HEX.SOC.FH.CAP SCREW          ,"#4-40UNC X 0.500""             ",[SS.304],B,2,133795                   ,HEX.SOC.FH.CAP SCREW          ,M3-0.50 X 12MM                ,[SS.304],B,SS304,SS304
9041,224853                   ,CARRIAGE BOLT                 ,"1/4-20UNC X 0.625""            ",ZINC PLATED,B,2,211911                   ,CARRIAGE BOLT                 ,M6-1.00 X 16MM                ,ZINC PLATED,P,ZINC,ZINC
9043,224853                   ,CARRIAGE BOLT                 ,"1/4-20UNC X 0.625""            ",ZINC PLATED,B,4,209224                   ,CARRIAGE BOLT                 ,M6-1.00 X 16MM                ,ZINC PLATED,P,ZINC,ZINC
9112,24101026                 ,SQ.HD.SET SCREW CUP POINT     ,"3/8-16UNC X 1.000""            ",ZINC PLATED,P,2,24104620                 ,SQ.HD.SET SCREW CUP POINT     ,M10-1.50 X 25MM               ,ZINC PLATED,P,ZINC,ZINC
9114,24101026                 ,SQ.HD.SET SCREW CUP POINT     ,"3/8-16UNC X 1.000""            ",ZINC PLATED,P,4,185823                   ,SQ.HD.SET SCREW CUP POINT     ,M10-1.50 X 25MM               ,ZINC PLATED,B,ZINC,ZINC
9224,225422                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 1.250""            ",[SS.304],B,2,142922                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 30MM               ,[SS.304],P,SS304,SS304
9529,222465                   ,HEX.SOC.CAP SCREW             ,"#10-32UNF X 1.500""            ",[SS.304],B,2,24101134                 ,HEX.SOC.CAP SCREW             ,M5-0.80 X 35MM                ,[SS.304],P,SS304,SS304
9531,222465                   ,HEX.SOC.CAP SCREW             ,"#10-32UNF X 1.500""            ",[SS.304],B,4,24104802                 ,HEX.SOC.CAP SCREW             ,M5-0.80 X 35MM                ,[SS.304],P,SS304,SS304
9625,185611                   ,HEX.HD.CAP SCREW-FULL THD.    ,"1/2-13UNC X 2.000""            ",[SS.304],B,2,185481                   ,HEX.HD.CAP SCREW-FULL THD.    ,M12-1.75 X 50MM               ,[SS.304],B,SS304,SS304
9721,206423                   ,HEX.NYLON INSERT LOCKNUT      ,#10-32UNC                     ,ZINC PLATED,P,2,24104331                 ,HEX.NYLON INSERT LOCKNUT      ,M5-0.80                       ,ZINC PLATED,B,ZINC,ZINC
9723,206423                   ,HEX.NYLON INSERT LOCKNUT      ,#10-32UNC                     ,ZINC PLATED,P,4,24104534                 ,HEX.NYLON INSERT LOCKNUT      ,M5-0.80                       ,ZINC PLATED,P,ZINC,ZINC
9725,206423                   ,HEX.NYLON INSERT LOCKNUT      ,#10-32UNC                     ,ZINC PLATED,P,6,182691                   ,HEX.NYLON INSERT LOCKNUT      ,M5-0.80                       ,ZINC PLATED,P,ZINC,ZINC
9783,185611                   ,HEX.HD.CAP SCREW-FULL THD.    ,"1/2-13UNC X 2.000""            ",[SS.304],B,4,185621                   ,HEX.HD.CAP SCREW-FULL THD.    ,M12-1.75 X 50MM               ,[SS.304],B,SS304,SS304
9787,185612                   ,HEX.HD.CAP SCREW-FULL THD.    ,"1/2-13UNC X 3.000""            ",[SS.304],B,2,185624                   ,HEX.HD.CAP SCREW-FULL THD.    ,M12-1.75 X 75MM               ,[SS.304],B,SS304,SS304
9789,185612                   ,HEX.HD.CAP SCREW-FULL THD.    ,"1/2-13UNC X 3.000""            ",[SS.304],B,4,185623                   ,HEX.HD.CAP SCREW-FULL THD.    ,M12-1.75 X 75MM               ,[SS.304],B,SS304,SS304
9793,185613                   ,HEX.HD.CAP SCREW-FULL THD.    ,"1/4-20UNC X 1.250""            ",[SS.304],B,2,185628                   ,HEX.HD.CAP SCREW-FULL THD.    ,M6-1.00 X 30MM                ,[SS.304],B,SS304,SS304
9799,185614                   ,HEX.HD.CAP SCREW-FULL THD.    ,"5/16-18UNC X 3.000""           ",[SS.304],B,2,185633                   ,HEX.HD.CAP SCREW-FULL THD.    ,M8-1.25 X 75MM                ,[SS.304],B,SS304,SS304
9801,185614                   ,HEX.HD.CAP SCREW-FULL THD.    ,"5/16-18UNC X 3.000""           ",[SS.304],B,4,185632                   ,HEX.HD.CAP SCREW-FULL THD.    ,M8-1.25 X 75MM                ,[SS.304],B,SS304,SS304
9959,218078                   ,HEX.HD.CAP SCREW-FULL THD.    ,"1/4-20UNC X 1.750""            ",[SS.304],P,2,161335                   ,HEX.HD.CAP SCREW-FULL THD.    ,M6-1.00 X 45MM                ,[SS.304],P,SS304,SS304
9971,218125                   ,CARRIAGE BOLT                 ,"5/16-18UNC X 0.750""           ",[SS.304],P,2,340496                   ,CARRIAGE BOLT                 ,M8-1.25 X 20MM                ,[SS.304],B,SS304,SS304
10099,208267                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 0.500""            ",[SS.304],B,2,24104681                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 12MM               ,[SS.304],B,SS304,SS304
10101,208267                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 0.500""            ",[SS.304],B,4,213279                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 12MM               ,[SS.304],B,SS304,SS304
10111,208388                   ,CARRIAGE BOLT                 ,"1/4-20UNC X 2.000""            ",[SS.304],B,2,163657                   ,CARRIAGE BOLT                 ,M6-1.00 X 50MM                ,[SS.304],P,SS304,SS304
10117,208389                   ,CARRIAGE BOLT                 ,"1/4-20UNC X 2.500""            ",[SS.304],B,2,164298                   ,CARRIAGE BOLT                 ,M6-1.00 X 60MM                ,[SS.304],B,SS304,SS304
10123,208464                   ,CARRIAGE BOLT                 ,"1/4-20UNC X 1.000""            ",[SS.316],P,2,156872                   ,CARRIAGE BOLT                 ,M6-1.00 X 25MM                ,[SS.316],P,SS316,SS316
10125,208464                   ,CARRIAGE BOLT                 ,"1/4-20UNC X 1.000""            ",[SS.316],P,4,185515                   ,CARRIAGE BOLT                 ,M6-1.00 X 25MM                ,[SS.316],B,SS316,SS316
10175,218623                   ,HEX.SOC.BUT.HD.CAP SCREW      ,"1/4-20UNC X 1.000""            ",ZINC PLATED,B,2,163155                   ,HEX.SOC.BUT.HD.CAP SCREW      ,M6-1.00 X 25MM                ,ZINC PLATED,B,ZINC,ZINC
10321,209090                   ,HEX.SOC.BUT.HD.CAP SCREW      ,"5/16-18UNC X 1.250""           ",ZINC PLATED,P,2,220461                   ,HEX.SOC.BUT.HD.CAP SCREW      ,M8-1.25 X 30MM                ,ZINC PLATED,B,ZINC,ZINC
10397,219354                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 2.750""            ",[SS.304],B,2,142923                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 70MM               ,[SS.304],P,SS304,SS304
10401,219354                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 2.750""            ",[SS.304],B,6,182657                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 70MM               ,[SS.304],P,SS304,SS304
10429,185646                   ,HEX.NUT                       ,#4-40UNC                      ,[SS.304],B,2,24101475                 ,HEX.NUT                       ,M3-0.50                       ,[SS.304],P,SS304,SS304
10431,185646                   ,HEX.NUT                       ,#4-40UNC                      ,[SS.304],B,4,185654                   ,HEX.NUT                       ,M3-0.50                       ,[SS.304],B,SS304,SS304
10435,185647                   ,HEX.NUT                       ,#6-32UNC                      ,[SS.304],B,2,24101211                 ,HEX.NUT                       ,M4-0.70                       ,[SS.304],B,SS304,SS304
10437,185647                   ,HEX.NUT                       ,#6-32UNC                      ,[SS.304],B,4,185655                   ,HEX.NUT                       ,M4-0.70                       ,[SS.304],B,SS304,SS304
10441,185648                   ,HEX.NUT                       ,#8-32UNC                      ,[SS.304],B,2,24101211                 ,HEX.NUT                       ,M4-0.70                       ,[SS.304],B,SS304,SS304
10443,185648                   ,HEX.NUT                       ,#8-32UNC                      ,[SS.304],B,4,185655                   ,HEX.NUT                       ,M4-0.70                       ,[SS.304],B,SS304,SS304
10447,185649                   ,HEX.NUT                       ,3/4-16UNF                     ,[SS.304],B,2,24104617                 ,HEX.NUT                       ,M20-1.50                      ,[SS.304],P,SS304,SS304
10449,185649                   ,HEX.NUT                       ,3/4-16UNF                     ,[SS.304],B,4,147299                   ,HEX.NUT                       ,M20-1.50                      ,[SS.304],P,SS304,SS304
10453,185650                   ,HEX.NUT                       ,3/8-16UNC                     ,[SS.304],B,2,24101215                 ,HEX.NUT                       ,M10-1.50                      ,[SS.304],B,SS304,SS304
10455,185650                   ,HEX.NUT                       ,3/8-16UNC                     ,[SS.304],B,4,24104842                 ,HEX.NUT                       ,M10-1.50                      ,[SS.304],P,SS304,SS304
10457,185650                   ,HEX.NUT                       ,3/8-16UNC                     ,[SS.304],B,6,166105                   ,HEX.NUT                       ,M10-1.50                      ,[SS.304],B,SS304,SS304
10459,185786                   ,HEX.SOC.SET SCREW CUP POINT   ,"1/2-13UNC X 0.625""            ",[SS.304],B,2,24104949                 ,HEX.SOC.SET SCREW CUP POINT   ,M12-1.75 X 16MM               ,[SS.304],P,SS304,SS304
10465,185787                   ,HEX.SOC.SET SCREW CUP POINT   ,"3/8-16UNC X 0.375""            ",[SS.304],B,2,24104460                 ,HEX.SOC.SET SCREW CUP POINT   ,M10-1.50 X 10MM               ,[SS.304],P,SS304,SS304
10467,185787                   ,HEX.SOC.SET SCREW CUP POINT   ,"3/8-16UNC X 0.375""            ",[SS.304],B,4,24104932                 ,HEX.SOC.SET SCREW CUP POINT   ,M10-1.50 X 10MM               ,[SS.304],P,SS304,SS304
10471,185788                   ,HEX.SOC.SET SCREW CUP POINT   ,"5/16-18UNC X 0.375""           ",[SS.304],B,2,24104726                 ,HEX.SOC.SET SCREW CUP POINT   ,M8-1.25 X 10MM                ,[SS.304],P,SS304,SS304
10473,185788                   ,HEX.SOC.SET SCREW CUP POINT   ,"5/16-18UNC X 0.375""           ",[SS.304],B,4,24104886                 ,HEX.SOC.SET SCREW CUP POINT   ,M8-1.25 X 10MM                ,[SS.304],P,SS304,SS304
10477,185789                   ,HEX.SOC.SET SCREW CUP POINT   ,"5/8-11UNC X 0.625""            ",[SS.304],B,2,113968                   ,HEX.SOC.SET SCREW CUP POINT   ,M16-2.00 X 16MM               ,[SS.304],P,SS304,SS304
10479,185789                   ,HEX.SOC.SET SCREW CUP POINT   ,"5/8-11UNC X 0.625""            ",[SS.304],B,4,185793                   ,HEX.SOC.SET SCREW CUP POINT   ,M16-2.00 X 15MM               ,[SS.304],B,SS304,SS304
10601,219986                   ,HEX.SOC.CAP SCREW             ,"#6-32UNC X 0.375""             ",[SS.304],P,2,185693                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 10MM                ,[SS.304],B,SS304,SS304
10603,219986                   ,HEX.SOC.CAP SCREW             ,"#6-32UNC X 0.375""             ",[SS.304],P,4,24104820                 ,HEX.SOC.CAP SCREW             ,M4-0.70 X 10MM                ,[SS.304],P,SS304,SS304
10645,185656                   ,HEX.NYLON INSERT LOCKNUT      ,1/2-20UNF                     ,[SS.304],B,2,24104998                 ,HEX.NYLON INSERT LOCKNUT      ,M12-1.25                      ,[SS.304],P,SS304,SS304
10647,185656                   ,HEX.NYLON INSERT LOCKNUT      ,1/2-20UNF                     ,[SS.304],B,4,185657                   ,HEX.NYLON INSERT LOCKNUT      ,M12-1.25                      ,[SS.304],B,SS304,SS304
10705,185801                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,"#10-24UNC X 0.500""            ",[SS.304],B,2,181732                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M5-0.80 X 12MM                ,[SS.304],P,SS304,SS304
10707,185801                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,"#10-24UNC X 0.500""            ",[SS.304],B,4,185812                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M5-0.80 X 12MM                ,[SS.304],B,SS304,SS304
10711,185802                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,"#10-24UNC X 0.750""            ",[SS.304],B,2,185814                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M5-0.80 X 20MM                ,[SS.304],B,SS304,SS304
10713,185802                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,"#10-24UNC X 0.750""            ",[SS.304],B,4,185813                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M5-0.80 X 20MM                ,[SS.304],B,SS304,SS304
10717,185803                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,"#8-32UNC X 0.250""             ",[SS.304],B,2,185811                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M4-0.70 X 6MM                 ,[SS.304],B,SS304,SS304
10831,185661                   ,HEX.SOC.BUT.HD.CAP SCREW      ,"5/16-18UNC X 0.750""           ",[SS.304],B,2,117720                   ,HEX.SOC.BUT.HD.CAP SCREW      ,M8-1.25 X 20MM                ,[SS.304],P,SS304,SS304
10833,185661                   ,HEX.SOC.BUT.HD.CAP SCREW      ,"5/16-18UNC X 0.750""           ",[SS.304],B,4,185666                   ,HEX.SOC.BUT.HD.CAP SCREW      ,M8-1.25 X 20MM                ,[SS.304],B,SS304,SS304
10867,185667                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 0.375""            ",[SS.304],B,2,24104567                 ,HEX.SOC.CAP SCREW             ,M5-0.80 X 10MM                ,[SS.304],P,SS304,SS304
10869,185667                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 0.375""            ",[SS.304],B,4,185700                   ,HEX.SOC.CAP SCREW             ,M5-0.80 X 10MM                ,[SS.304],B,SS304,SS304
10873,185668                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 0.625""            ",[SS.304],B,2,24102658                 ,HEX.SOC.CAP SCREW             ,M5-0.80 X 16MM                ,[SS.304],B,SS304,SS304
10875,185803                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,"#8-32UNC X 0.250""             ",[SS.304],B,4,185810                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M4-0.70 X 6MM                 ,[SS.304],B,SS304,SS304
10881,185804                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,"#8-32UNC X 0.500""             ",[SS.304],B,4,185808                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M4-0.70 X 12MM                ,[SS.304],B,SS304,SS304
10885,185805                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,"1/4-20UNC X 0.500""            ",[SS.304],B,2,181733                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M6-1.00 X 12MM                ,[SS.304],P,SS304,SS304
10887,185805                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,"1/4-20UNC X 0.500""            ",[SS.304],B,4,185815                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M6-1.00 X 12MM                ,[SS.304],B,SS304,SS304
10891,185806                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,"1/4-20UNC X 0.750""            ",[SS.304],B,2,182126                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M6-1.00 X 20MM                ,[SS.304],P,SS304,SS304
10893,185806                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,"1/4-20UNC X 0.750""            ",[SS.304],B,4,185816                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M6-1.00 X 20MM                ,[SS.304],B,SS304,SS304
10897,185807                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,"1/4-20UNC X 1.250""            ",[SS.304],B,2,185820                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M6-1.00 X 30MM                ,[SS.304],B,SS304,SS304
10899,185807                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,"1/4-20UNC X 1.250""            ",[SS.304],B,4,185819                   ,SCREW RD.HD.SQ.SOC.DRIVE      ,M6-1.00 X 30MM                ,[SS.304],B,SS304,SS304
10951,210805                   ,HEX.HD.CAP SCREW-FULL THD.    ,"3/8-16UNC X 4.000""            ",[SS.304],B,2,212392                   ,HEX.HD.CAP SCREW-FULL THD.    ,M10-1.50 X 100MM              ,[SS.304],B,SS304,SS304
10953,210805                   ,HEX.HD.CAP SCREW-FULL THD.    ,"3/8-16UNC X 4.000""            ",[SS.304],B,4,212393                   ,HEX.HD.CAP SCREW-FULL THD.    ,M10-1.50 X 100MM              ,[SS.304],B,SS304,SS304
11031,185668                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 0.625""            ",[SS.304],B,4,24104800                 ,HEX.SOC.CAP SCREW             ,M5-0.80 X 16MM                ,[SS.304],P,SS304,SS304
11033,185668                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 0.625""            ",[SS.304],B,6,182699                   ,HEX.SOC.CAP SCREW             ,M5-0.80 X 15MM                ,[SS.304],P,SS304,SS304
11035,185669                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 1.750""            ",[SS.304],B,2,24104734                 ,HEX.SOC.CAP SCREW             ,M5-0.80 X 45MM                ,[SS.304],P,SS304,SS304
11037,185669                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 1.750""            ",[SS.304],B,4,24104803                 ,HEX.SOC.CAP SCREW             ,M5-0.80 X 45MM                ,[SS.304],P,SS304,SS304
11043,185670                   ,HEX.SOC.CAP SCREW             ,"#6-32UNC X 0.250""             ",[SS.304],B,4,185699                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 6MM                 ,[SS.304],B,SS304,SS304
11047,185671                   ,HEX.SOC.CAP SCREW             ,"#6-32UNC X 0.625""             ",[SS.304],B,2,24101949                 ,HEX.SOC.CAP SCREW             ,M4-0.70 X 16MM                ,[SS.304],P,SS304,SS304
11049,185671                   ,HEX.SOC.CAP SCREW             ,"#6-32UNC X 0.625""             ",[SS.304],B,4,24104709                 ,HEX.SOC.CAP SCREW             ,M4-0.70 X 16MM                ,[SS.304],P,SS304,SS304
11051,185671                   ,HEX.SOC.CAP SCREW             ,"#6-32UNC X 0.625""             ",[SS.304],B,6,182694                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 16MM                ,[SS.304],P,SS304,SS304
11053,185672                   ,HEX.SOC.CAP SCREW             ,"#6-32UNC X 1.000""             ",[SS.304],B,2,24101453                 ,HEX.SOC.CAP SCREW             ,M4-0.70 X 25MM                ,[SS.304],P,SS304,SS304
11055,185672                   ,HEX.SOC.CAP SCREW             ,"#6-32UNC X 1.000""             ",[SS.304],B,4,24104819                 ,HEX.SOC.CAP SCREW             ,M4-0.70 X 25MM                ,[SS.304],P,SS304,SS304
11057,185672                   ,HEX.SOC.CAP SCREW             ,"#6-32UNC X 1.000""             ",[SS.304],B,6,182696                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 25MM                ,[SS.304],P,SS304,SS304
11059,185673                   ,HEX.SOC.CAP SCREW             ,"#6-32UNC X 1.250""             ",[SS.304],B,2,24101251                 ,HEX.SOC.CAP SCREW             ,M4-0.70 X 30MM                ,[SS.304],P,SS304,SS304
11061,185673                   ,HEX.SOC.CAP SCREW             ,"#6-32UNC X 1.250""             ",[SS.304],B,4,185694                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 30MM                ,[SS.304],B,SS304,SS304
11065,185674                   ,HEX.SOC.CAP SCREW             ,"#6-32UNC X 2.000""             ",[SS.304],B,2,24101455                 ,HEX.SOC.CAP SCREW             ,M4-0.70 X 50MM                ,[SS.304],P,SS304,SS304
11067,185674                   ,HEX.SOC.CAP SCREW             ,"#6-32UNC X 2.000""             ",[SS.304],B,4,184799                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 50MM                ,[SS.304],P,SS304,SS304
11073,185675                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 0.250""             ",[SS.304],B,4,185699                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 6MM                 ,[SS.304],B,SS304,SS304
11077,185676                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 0.375""             ",[SS.304],B,2,185693                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 10MM                ,[SS.304],B,SS304,SS304
